ID_Venda,ID_Cliente,ID_Produto,Data_Venda,Status_Entrega,Custo_Frete
271,65,32,2026-01-03,Entregue,49.1
272,72,47,2025-12-06,Cancelado,31.37
273,46,7,2026-01-10,Atrasado,53.9
274,78,23,2025-10-08,Entregue,39.77
275,19,43,2025-09-19,Entregue,15.33
276,56,13,2025-07-16,Atrasado,16.36
277,39,11,2025-05-07,Cancelado,53.4
278,82,31,2026-03-12,Entregue,36.64
279,74,48,2026-04-09,Entregue,41.82
280,91,23,2025-08-04,Entregue,37.79
281,51,50,2026-03-10,Entregue,57.89
282,35,18,2026-01-18,Entregue,52.23
283,26,37,2025-04-29,Entregue,52.68
284,53,39,2026-03-22,Atrasado,75.59
285,8,50,2025-07-19,Entregue,29.48
286,80,48,2026-01-05,Cancelado,60.78
287,72,19,2025-09-04,Entregue,23.85
288,4,33,2026-04-12,Atrasado,66.35
289,79,38,2026-01-25,Entregue,49.27
290,72,17,2026-02-28,Atrasado,33.46
291,30,11,2026-03-13,Entregue,38.31
292,70,19,2025-09-23,Atrasado,18.75
293,87,15,2026-04-07,Entregue,48.49
294,45,27,2025-10-09,Entregue,40.33
295,36,4,2026-03-04,Entregue,38.44
296,32,49,2026-01-14,Entregue,60.01
297,53,27,2026-02-09,Entregue,69.32
298,2,2,2026-03-13,Entregue,33.06
299,36,37,2025-10-21,Atrasado,56.35
300,18,34,2025-10-02,Entregue,23.28
301,92,20,2025-07-17,Entregue,64.56
302,46,14,2026-03-23,Entregue,60.24
303,12,34,2025-11-29,Entregue,69.56
304,91,20,2026-01-25,Entregue,44.76
305,80,9,2026-03-29,Entregue,66.47
306,49,25,2025-06-11,Entregue,15.37
307,60,48,2026-03-21,Entregue,26.04
308,99,14,2026-01-24,Entregue,57.47
309,2,38,2025-12-06,Atrasado,26.86
310,79,13,2025-07-16,Entregue,47.39
311,100,12,2026-04-12,Entregue,78.5
312,68,43,2025-07-27,Entregue,24.7
313,51,40,2025-07-11,Entregue,67.38
314,70,16,2025-12-14,Entregue,30.5
315,64,31,2025-05-01,Entregue,60.56
316,59,40,2025-07-11,Entregue,31.31
317,28,33,2026-02-12,Entregue,37.06
318,68,26,2025-12-06,Atrasado,34.91
319,22,49,2026-01-10,Entregue,73.54
320,58,39,2026-04-27,Atrasado,72.17
321,1,7,2025-09-22,Cancelado,60.4
322,92,9,2025-09-26,Entregue,32.44
323,61,10,2026-02-09,Atrasado,36.39
324,30,4,2025-09-06,Entregue,58.39
325,52,47,2025-12-01,Entregue,64.22
326,83,19,2025-11-14,Entregue,26.31
327,59,29,2026-04-07,Entregue,58.64
328,10,6,2025-12-29,Entregue,25.28
329,6,22,2025-12-02,Entregue,48.9
330,35,33,2026-01-17,Entregue,19.51
331,11,2,2026-04-10,Entregue,73.09
332,47,42,2025-12-29,Atrasado,16.98
333,17,6,2026-04-23,Entregue,34.61
334,89,22,2026-03-23,Entregue,75.48
335,2,43,2026-04-17,Entregue,42.28
336,17,14,2025-08-09,Atrasado,19.07
337,51,16,2026-02-24,Entregue,57.52
338,38,12,2025-06-22,Entregue,42.54
339,60,3,2025-12-20,Entregue,79.91
340,84,3,2025-12-01,Entregue,71.56
341,91,26,2025-10-07,Entregue,25.27
342,42,14,2025-05-18,Atrasado,19.78
343,58,1,2026-02-01,Entregue,64.64
344,19,1,2025-05-04,Entregue,64.19
345,30,17,2025-07-29,Entregue,49.42
346,25,34,2025-09-03,Entregue,56.05
347,21,41,2026-02-16,Entregue,63.83
348,54,17,2025-07-09,Entregue,55.88
349,43,48,2025-07-15,Atrasado,55.78
350,74,17,2025-07-26,Cancelado,21.05
351,81,20,2025-11-20,Entregue,15.97
352,84,19,2026-03-16,Cancelado,73.85
353,74,13,2025-05-22,Entregue,49.61
354,94,35,2025-12-12,Atrasado,38.63
355,93,13,2026-01-13,Entregue,65.88
356,4,11,2025-10-07,Cancelado,46.91
357,58,5,2026-01-28,Entregue,68.01
358,63,2,2025-12-06,Entregue,77.14
359,85,35,2026-01-17,Entregue,44.37
360,58,19,2025-08-02,Entregue,24.19
361,30,21,2025-07-01,Entregue,69.08
362,17,35,2025-05-23,Entregue,32.33
363,52,33,2026-01-27,Atrasado,26.83
364,66,34,2025-11-22,Entregue,50.5
365,78,32,2025-12-26,Cancelado,18.12
366,26,3,2025-04-29,Atrasado,61.18
367,43,22,2025-07-22,Atrasado,61.92
368,34,23,2025-09-29,Entregue,45.79
369,81,10,2025-10-20,Entregue,47.91
370,41,7,2026-02-05,Atrasado,51.13
371,1,33,2025-12-27,Entregue,42.01
372,100,20,2025-09-05,Entregue,59.03
373,68,33,2025-12-30,Entregue,79.74
374,12,9,2025-10-29,Entregue,74.75
375,2,43,2025-10-21,Entregue,52.75
376,47,7,2025-05-04,Entregue,51.03
377,64,36,2025-09-12,Entregue,28.37
378,97,24,2025-07-16,Atrasado,72.85
379,35,41,2025-06-06,Cancelado,16.74
380,69,42,2025-05-25,Entregue,30.35
381,36,12,2025-06-18,Cancelado,23.38
382,85,19,2025-11-25,Entregue,70.45
383,98,6,2025-12-14,Entregue,40.96
384,14,41,2025-08-14,Entregue,17.86
385,32,9,2025-12-31,Atrasado,50.74
386,48,4,2025-10-08,Entregue,22.77
387,21,34,2025-12-26,Entregue,50.08
388,74,18,2025-07-27,Entregue,32.28
389,87,50,2025-09-27,Cancelado,19.33
390,35,19,2026-03-23,Entregue,53.34
391,52,40,2025-05-01,Atrasado,15.82
392,56,6,2026-01-25,Cancelado,53.51
393,30,16,2025-09-01,Entregue,60.4
394,60,26,2025-06-30,Entregue,23.41
395,26,4,2026-02-01,Entregue,65.57
396,26,33,2025-09-11,Entregue,39.12
397,86,49,2025-11-13,Entregue,22.04
398,21,2,2025-12-28,Atrasado,24.09
399,73,39,2025-07-10,Entregue,43.12
400,41,32,2025-11-19,Entregue,15.82
401,20,20,2025-12-10,Entregue,37.58
402,86,12,2025-10-09,Entregue,63.54
403,53,19,2025-06-12,Entregue,75.57
404,1,12,2026-04-25,Atrasado,58.65
405,60,21,2025-09-29,Cancelado,19.45
406,60,10,2025-09-05,Atrasado,57.27
407,18,19,2026-04-06,Entregue,54.99
408,8,41,2025-09-03,Entregue,44.99
409,19,10,2025-06-24,Atrasado,60.06
410,6,37,2025-09-26,Entregue,48.11
411,28,47,2026-02-26,Entregue,38.85
412,33,29,2025-10-04,Entregue,33.71
413,49,23,2025-10-21,Atrasado,15.83
414,18,29,2026-01-12,Entregue,73.46
415,1,22,2025-06-18,Atrasado,72.98
416,65,22,2026-02-14,Cancelado,29.93
417,69,7,2025-12-14,Entregue,56.46
418,35,21,2025-09-09,Entregue,52.94
419,83,21,2025-08-23,Entregue,74.22
420,41,11,2025-06-03,Entregue,73.31
421,49,14,2025-07-06,Entregue,74.95
422,55,34,2025-10-09,Atrasado,60.1
423,8,49,2025-08-24,Entregue,77.38
424,10,25,2026-02-03,Entregue,46.32
425,1,15,2025-11-03,Entregue,28.54
426,54,22,2025-08-09,Entregue,62.68
427,98,44,2025-11-26,Entregue,46.75
428,8,9,2026-04-16,Cancelado,59.8
429,18,46,2025-06-06,Entregue,49.75
430,18,50,2025-05-16,Entregue,23.56
431,19,30,2025-12-29,Entregue,40.27
432,92,27,2025-05-09,Entregue,22.08
433,1,27,2025-08-10,Entregue,53.35
434,34,10,2026-04-20,Entregue,38.15
435,82,21,2025-10-28,Cancelado,37.8
436,34,4,2025-11-30,Entregue,73.56
437,66,26,2025-05-18,Entregue,63.07
438,59,20,2026-02-11,Entregue,49.5
439,6,30,2026-03-12,Entregue,28.15
440,9,38,2025-07-07,Entregue,16.65
441,69,31,2026-04-24,Entregue,21.71
442,19,6,2025-07-09,Entregue,44.71
443,11,38,2025-07-29,Entregue,46.1
444,84,27,2026-03-20,Entregue,22.88
445,10,10,2025-05-23,Entregue,70.24
446,86,11,2026-01-11,Cancelado,58.05
447,58,41,2025-10-31,Entregue,25.83
448,59,30,2025-07-14,Cancelado,58.12
449,50,33,2026-04-18,Entregue,69.81
450,43,41,2026-04-12,Entregue,41.36
451,10,23,2026-03-25,Entregue,31.04
452,74,36,2026-03-13,Entregue,34.68
453,73,21,2025-10-18,Entregue,65.31
454,5,11,2026-01-22,Atrasado,49.58
455,22,37,2026-03-29,Entregue,32.18
456,47,24,2025-05-05,Entregue,60.72
457,64,24,2025-11-09,Atrasado,47.4
458,12,8,2026-02-06,Entregue,48.07
459,63,31,2025-07-04,Entregue,21.2
460,19,48,2025-12-22,Entregue,67.41
461,56,27,2025-11-13,Entregue,20.34
462,74,35,2025-05-04,Entregue,18.39
463,46,50,2025-06-04,Entregue,52.87
464,25,26,2026-01-11,Entregue,50.32
465,24,7,2025-07-12,Entregue,39.62
466,93,42,2025-05-03,Entregue,58.24
467,8,20,2025-08-06,Entregue,36.97
468,45,9,2025-11-10,Cancelado,51.59
469,72,22,2025-09-04,Atrasado,35.5
470,55,4,2025-06-30,Entregue,43.45
471,2,7,2025-11-08,Entregue,18.93
472,45,32,2026-01-20,Atrasado,52.83
473,89,31,2025-12-01,Entregue,47.99
474,84,37,2025-06-15,Entregue,51.83
475,1,5,2025-12-31,Cancelado,22.02
476,44,25,2025-09-08,Entregue,65.47
477,76,8,2025-10-04,Entregue,58.71
478,70,17,2025-09-20,Atrasado,53.26
479,72,11,2025-10-10,Entregue,67.42
480,27,9,2025-08-25,Entregue,26.82
481,27,35,2026-03-25,Entregue,16.04
482,51,38,2026-03-03,Entregue,22.82
483,3,20,2025-07-25,Cancelado,46.76
484,37,23,2026-02-04,Cancelado,30.97
485,7,14,2025-09-13,Entregue,36.0
486,75,14,2025-07-19,Entregue,62.04
487,52,44,2025-06-22,Entregue,31.56
488,76,19,2026-02-02,Entregue,51.47
489,82,43,2026-02-09,Entregue,38.76
490,72,45,2026-04-09,Entregue,24.49
491,11,9,2025-05-08,Cancelado,36.62
492,37,1,2026-02-19,Atrasado,41.68
493,71,18,2026-03-25,Entregue,38.11
494,59,37,2026-03-14,Entregue,57.91
495,79,32,2026-03-08,Atrasado,31.87
496,79,50,2026-01-16,Entregue,17.56
497,97,26,2026-01-26,Entregue,68.82
498,38,1,2026-02-04,Entregue,49.79
499,79,33,2025-11-18,Cancelado,20.44
500,7,19,2025-08-28,Atrasado,38.81
501,66,34,2025-10-29,Entregue,61.63
502,83,42,2026-01-17,Cancelado,54.11
503,10,19,2025-09-09,Entregue,62.46
504,49,10,2025-07-16,Entregue,39.31
505,25,8,2026-02-11,Entregue,35.76
506,71,16,2025-05-07,Entregue,38.97
507,62,50,2025-12-30,Entregue,36.21
508,99,39,2026-03-07,Entregue,38.26
509,84,2,2025-07-03,Atrasado,19.32
510,70,49,2026-04-11,Entregue,67.0
511,75,1,2026-02-21,Entregue,51.07
512,9,34,2025-08-02,Atrasado,29.46
513,95,48,2026-04-08,Entregue,48.75
514,11,34,2025-12-07,Entregue,30.76
515,73,31,2025-06-01,Entregue,74.46
516,4,28,2025-12-12,Entregue,48.54
517,14,19,2026-01-13,Entregue,18.21
518,41,21,2025-09-24,Entregue,21.98
519,33,1,2025-08-30,Atrasado,31.58
520,93,28,2025-12-09,Atrasado,75.06
521,32,32,2026-03-19,Entregue,37.59
522,87,4,2026-02-04,Entregue,57.42
523,5,50,2025-07-05,Entregue,71.27
524,81,11,2025-09-03,Entregue,43.6
525,90,5,2025-05-15,Entregue,61.82
526,33,4,2026-04-25,Entregue,64.53
527,49,6,2025-08-07,Atrasado,65.94
528,92,36,2025-05-06,Entregue,34.58
529,24,20,2025-06-14,Atrasado,43.06
530,31,40,2026-01-18,Entregue,24.05
531,14,30,2025-05-27,Atrasado,53.04
532,47,47,2025-07-09,Entregue,55.78
533,38,13,2026-03-04,Entregue,68.97
534,18,27,2026-01-04,Atrasado,40.15
535,67,19,2026-02-02,Entregue,55.7
536,88,41,2025-07-07,Entregue,20.73
537,58,21,2025-08-27,Atrasado,58.66
538,37,43,2026-03-02,Atrasado,17.42
539,3,9,2026-01-16,Cancelado,36.05
540,13,16,2025-07-19,Atrasado,19.25
541,63,30,2025-08-06,Entregue,72.54
542,72,26,2025-05-14,Atrasado,33.83
543,5,39,2025-07-18,Entregue,78.6
544,51,27,2026-03-04,Entregue,27.9
545,33,24,2025-11-04,Entregue,42.71
546,86,41,2025-08-14,Entregue,46.97
547,87,31,2025-12-24,Entregue,70.36
548,82,18,2025-11-22,Entregue,51.15
549,84,28,2025-08-15,Entregue,58.44
550,93,33,2025-12-31,Entregue,66.82
551,72,24,2025-12-26,Atrasado,42.34
552,70,2,2025-12-13,Cancelado,78.81
553,93,18,2025-12-13,Atrasado,34.06
554,26,5,2025-05-25,Cancelado,34.16
555,93,43,2026-04-04,Entregue,29.12
556,97,15,2025-10-28,Entregue,56.47
557,51,39,2026-03-13,Cancelado,26.27
558,58,17,2025-08-08,Atrasado,24.08
559,24,3,2026-03-09,Atrasado,49.12
560,56,46,2025-05-23,Entregue,63.69
561,15,27,2025-08-10,Entregue,29.96
562,31,19,2026-02-17,Atrasado,60.75
563,3,27,2025-08-29,Entregue,64.63
564,47,10,2025-10-15,Entregue,42.12
565,18,35,2025-07-08,Entregue,36.18
566,93,7,2025-07-18,Atrasado,68.43
567,87,8,2025-10-24,Atrasado,63.35
568,88,37,2026-02-28,Entregue,67.46
569,48,40,2025-11-07,Entregue,49.74
570,71,27,2026-03-05,Entregue,76.46
571,72,19,2025-05-12,Atrasado,57.15
572,89,26,2025-07-11,Entregue,55.12
573,37,7,2026-02-05,Entregue,57.4
574,77,18,2026-02-12,Entregue,19.96
575,41,41,2025-07-15,Entregue,35.34
576,18,24,2025-09-07,Entregue,61.71
577,6,23,2026-01-07,Entregue,57.21
578,28,50,2025-07-22,Cancelado,54.59
579,23,33,2025-05-11,Entregue,15.89
580,25,47,2025-07-05,Entregue,77.52
581,79,14,2026-02-10,Entregue,44.26
582,79,3,2025-06-01,Cancelado,48.9
583,53,28,2025-05-26,Cancelado,22.04
584,8,44,2025-12-28,Entregue,56.69
585,3,38,2025-07-31,Entregue,30.97
586,68,28,2025-12-09,Entregue,68.79
587,59,42,2025-06-26,Entregue,77.18
588,1,45,2025-11-01,Entregue,25.01
589,73,18,2026-04-14,Entregue,75.16
590,22,48,2025-09-30,Cancelado,25.05
591,20,21,2026-03-12,Entregue,70.17
592,8,49,2025-05-17,Entregue,66.03
593,49,7,2025-08-27,Atrasado,34.36
594,23,32,2026-04-16,Entregue,57.33
595,21,20,2026-04-04,Entregue,43.46
596,48,17,2026-03-24,Cancelado,36.74
597,53,40,2025-06-25,Entregue,20.03
598,75,43,2026-01-27,Entregue,30.7
599,47,33,2026-04-05,Entregue,67.39
600,63,8,2026-02-28,Entregue,77.34
601,50,12,2025-05-07,Entregue,28.73
602,57,15,2025-05-18,Entregue,78.48
603,66,36,2025-11-13,Entregue,53.02
604,67,29,2025-11-25,Atrasado,18.55
605,34,17,2026-04-11,Entregue,25.88
606,51,14,2026-01-19,Entregue,66.48
607,97,30,2025-11-19,Entregue,33.29
608,95,22,2025-09-09,Cancelado,34.32
609,88,8,2025-09-26,Entregue,71.62
610,73,3,2025-09-07,Entregue,30.44
611,79,42,2026-04-20,Entregue,63.16
612,70,2,2026-02-27,Cancelado,75.53
613,75,19,2025-08-16,Atrasado,15.59
614,34,24,2026-02-06,Cancelado,53.0
615,42,26,2026-01-22,Entregue,42.06
616,88,15,2025-06-09,Atrasado,32.04
617,20,13,2025-09-11,Entregue,59.91
618,25,20,2025-08-23,Entregue,57.18
619,50,3,2025-05-15,Atrasado,66.17
620,8,17,2025-05-20,Atrasado,51.63
621,93,47,2025-07-08,Atrasado,21.1
622,66,8,2025-07-15,Cancelado,24.68
623,80,15,2025-09-27,Entregue,39.61
624,34,1,2025-09-08,Entregue,36.71
